id,name,image,joindate,updatedate,relations
492062,Amin Yousefinejad,https://imgjam1.jamendo.com/artists/s492/492062/covers/1.200.jpg?t=1510849695,2016-07-30,2019-01-28 16:51:46,1
505236,Omonoko,https://imgjam1.jamendo.com/artists/s505/505236/covers/1.200.jpg?t=1512499436,2017-12-05,2019-01-21 23:54:33,1
